Observer,Date,FireName,FireYear,Transect,Burned,Quadrat,SpeciesCode,PercentCover
DFW,7/21/2021,Dugout,2012,1,Y,1,artfri,15
DFW,7/21/2021,Dugout,2012,1,Y,1,bougra,62.5
DFW,7/21/2021,Dugout,2012,1,Y,1,passmi,3
DFW,7/21/2021,Dugout,2012,1,Y,1,carfil,15
DFW,7/21/2021,Dugout,2012,1,Y,1,polalb,3
DFW,7/21/2021,Dugout,2012,1,Y,2,passmi,15
DFW,7/21/2021,Dugout,2012,1,Y,2,polalb,3
DFW,7/21/2021,Dugout,2012,1,Y,2,bougra,62.5
DFW,7/21/2021,Dugout,2012,1,Y,2,carfil,15
DFW,7/21/2021,Dugout,2012,1,Y,2,aripur,15
NGH,7/21/2021,Dugout,2012,1,Y,3,eupvir,15
NGH,7/21/2021,Dugout,2012,1,Y,3,bougra,37.5
NGH,7/21/2021,Dugout,2012,1,Y,3,artfri,15
NGH,7/21/2021,Dugout,2012,1,Y,3,carfil,15
NGH,7/21/2021,Dugout,2012,1,Y,3,lygjun,15
NGH,7/21/2021,Dugout,2012,1,Y,3,hescom,15
NGH,7/21/2021,Dugout,2012,1,Y,3,astfle,15
DFW,7/21/2021,Dugout,2012,1,Y,4,schsco,62.5
DFW,7/21/2021,Dugout,2012,1,Y,4,artfri,15
DFW,7/21/2021,Dugout,2012,1,Y,4,eupvir,3
DFW,7/21/2021,Dugout,2012,1,Y,4,carfil,15
DFW,7/21/2021,Dugout,2012,1,Y,4,passmi,15
DFW,7/21/2021,Dugout,2012,1,Y,4,boucur,15
DFW,7/21/2021,Dugout,2012,1,Y,4,carexsp,15
DFW,7/21/2021,Dugout,2012,1,Y,4,phlhoo,15
DFW,7/21/2021,Dugout,2012,1,Y,4,koemac,3
DFW,7/21/2021,Dugout,2012,1,Y,4,bougra,3
NGH,7/21/2021,Dugout,2012,1,Y,5,bougra,15
NGH,7/21/2021,Dugout,2012,1,Y,5,boucur,15
NGH,7/21/2021,Dugout,2012,1,Y,5,schsco,15
NGH,7/21/2021,Dugout,2012,1,Y,5,callon,3
NGH,7/21/2021,Dugout,2012,1,Y,5,carexsp,37.5
NGH,7/21/2021,Dugout,2012,1,Y,5,hescom,15
NGH,7/21/2021,Dugout,2012,1,Y,5,koemac,15
NGH,7/21/2021,Dugout,2012,1,Y,5,phlhoo,3
NGH,7/21/2021,Dugout,2012,1,Y,5,eupvir,3
DFW,7/21/2021,Dugout,2012,1,Y,6,eupvir,15
DFW,7/21/2021,Dugout,2012,1,Y,6,boucur,62.5
DFW,7/21/2021,Dugout,2012,1,Y,6,carexsp,37.5
DFW,7/21/2021,Dugout,2012,1,Y,6,artfri,3
DFW,7/21/2021,Dugout,2012,1,Y,6,poapra,3
DFW,7/21/2021,Dugout,2012,1,Y,6,phlhoo,0.5
DFW,7/21/2021,Dugout,2012,1,Y,6,passmi,15
DFW,7/21/2021,Dugout,2012,1,Y,6,bougra,15
DFW,7/21/2021,Dugout,2012,1,Y,6,aripur,3
DFW,7/21/2021,Dugout,2012,1,Y,6,carfil,3
DFW,7/21/2021,Dugout,2012,1,Y,6,koemac,3
DFW,7/21/2021,Dugout,2012,1,Y,6,lygjun,0.5
NGH,7/21/2021,Dugout,2012,1,Y,7,artfri,3
NGH,7/21/2021,Dugout,2012,1,Y,7,carfil,15
NGH,7/21/2021,Dugout,2012,1,Y,7,bougra,62.5
NGH,7/21/2021,Dugout,2012,1,Y,7,schsco,15
NGH,7/21/2021,Dugout,2012,1,Y,7,koemac,15
NGH,7/21/2021,Dugout,2012,1,Y,7,elylan,3
NGH,7/21/2021,Dugout,2012,1,Y,7,eupvir,3
NGH,7/21/2021,Dugout,2012,1,Y,7,polalb,3
NGH,7/21/2021,Dugout,2012,1,Y,8,symocc,62.5
NGH,7/21/2021,Dugout,2012,1,Y,8,anecyl,15
NGH,7/21/2021,Dugout,2012,1,Y,8,poapra,15
NGH,7/21/2021,Dugout,2012,1,Y,8,passmi,3
NGH,7/21/2021,Dugout,2012,1,Y,8,carexsp,15
NGH,7/21/2021,Dugout,2012,1,Y,8,bougra,3
NGH,7/21/2021,Dugout,2012,1,Y,8,artfri,0.5
DFW,7/21/2021,Dugout,2012,1,Y,9,symocc,15
DFW,7/21/2021,Dugout,2012,1,Y,9,passmi,3
DFW,7/21/2021,Dugout,2012,1,Y,9,taroff,15
DFW,7/21/2021,Dugout,2012,1,Y,9,poapra,37.5
DFW,7/21/2021,Dugout,2012,1,Y,9,medlup,0.5
DFW,7/21/2021,Dugout,2012,1,Y,9,elylan,15
DFW,7/21/2021,Dugout,2012,1,Y,9,collin,3
NGH,7/21/2021,Dugout,2012,1,Y,10,symobl,37.5
NGH,7/21/2021,Dugout,2012,1,Y,10,symocc,15
NGH,7/21/2021,Dugout,2012,1,Y,10,passmi,15
NGH,7/21/2021,Dugout,2012,1,Y,10,elylan,3
DFW,7/22/2021,Dugout,2012,2,N,1,galbor,3
DFW,7/22/2021,Dugout,2012,2,N,1,echang,3
DFW,7/22/2021,Dugout,2012,2,N,1,anepat,3
DFW,7/22/2021,Dugout,2012,2,N,1,callon,37.5
DFW,7/22/2021,Dugout,2012,2,N,1,carfil,15
DFW,7/22/2021,Dugout,2012,2,N,1,schsco,15
DFW,7/22/2021,Dugout,2012,2,N,1,andger,3
DFW,7/22/2021,Dugout,2012,2,N,1,hesspa,15
DFW,7/22/2021,Dugout,2012,2,N,1,passmi,3
DFW,7/22/2021,Dugout,2012,2,N,1,boucur,3
DFW,7/22/2021,Dugout,2012,2,N,1,poapra,3
DFW,7/22/2021,Dugout,2012,2,N,2,symocc,15
DFW,7/22/2021,Dugout,2012,2,N,2,echang,15
DFW,7/22/2021,Dugout,2012,2,N,2,galbor,3
DFW,7/22/2021,Dugout,2012,2,N,2,callon,15
DFW,7/22/2021,Dugout,2012,2,N,2,comumb,0.5
DFW,7/22/2021,Dugout,2012,2,N,2,anepat,15
DFW,7/22/2021,Dugout,2012,2,N,2,hesspa,15
DFW,7/22/2021,Dugout,2012,2,N,2,passmi,3
DFW,7/22/2021,Dugout,2012,2,N,2,symobl,3
DFW,7/22/2021,Dugout,2012,2,N,2,boucur,15
DFW,7/22/2021,Dugout,2012,2,N,2,linlew,0.5
DFW,7/22/2021,Dugout,2012,2,N,2,dryarg,3
DFW,7/22/2021,Dugout,2012,2,N,2,carfil,15
DFW,7/22/2021,Dugout,2012,2,N,2,poapra,15
