location,BurnDate,PreBurn,PostBurn
CGREC,2018-05-02,2018-04-29,2018-05-04
CGREC,2018-05-03,2018-04-29,2018-05-04
CGREC,2018-05-15,2018-05-14,2018-05-16
CGREC,2018-05-16,2018-05-14,2018-05-24
CGREC,2019-05-07,2019-05-06,2019-05-09
CGREC,2019-05-13,2019-05-09,2019-05-14
CGREC,2019-05-14,2019-05-14,2019-05-16
Dayton,2019-10-07,2019-10-06,2019-10-19
Dayton,2020-10-02,2020-09-30,2020-10-03
HREC,2017-10-27,2017-10-24,2017-11-10
HREC,2017-10-28,2017-10-24,2017-11-10
HREC,2018-10-17,2018-10-16,2018-10-19
HREC,2018-10-18,2018-10-16,2018-10-19
HREC,2019-10-08,2019-10-06,2019-10-19
