location,BurnDate,PreBurn,PostBurn
CGREC,5/2/2018,4/29/2018,5/4/2018
CGREC,5/3/2018,4/29/2018,5/4/2018
CGREC,5/15/2018,5/14/2018,5/16/2018
CGREC,5/16/2018,5/14/2018,5/24/2018
CGREC,5/7/2019,5/6/2019,5/9/2019
CGREC,5/13/2019,5/9/2019,5/14/2019
CGREC,5/14/2019,5/14/2019,5/16/2019
Dayton,10/7/2019,10/6/2019,10/19/2019
Dayton,10/2/2020,9/30/2020,10/3/2020
HREC,10/27/2017,10/24/2017,11/10/2017
HREC,10/28/2017,10/24/2017,11/10/2017
HREC,10/17/2018,10/16/2018,10/19/2018
HREC,10/18/2018,10/16/2018,10/19/2018
HREC,10/8/2019,10/6/2019,10/19/2019
