zone,type,FireCode,Mean_dNBR,SEM
East,Rx,CGREC_1,0.146,0.007
East,Rx,CGREC_10,0.375,0.011
East,Rx,CGREC_11,0.201,0.013
East,Rx,CGREC_12,0.28,0.018
East,Rx,CGREC_13,0.242,0.01
East,Rx,CGREC_14,0.235,0.01
East,Rx,CGREC_15,0.282,0.005
East,Rx,CGREC_16,0.13,0.011
East,Rx,CGREC_18,0.074,0.009
East,Rx,CGREC_19,0.212,0.025
East,Rx,CGREC_2,0.072,0.011
East,Rx,CGREC_20,0.247,0.008
East,Rx,CGREC_21,0.32,0.007
East,Rx,CGREC_22,0.246,0.013
East,Rx,CGREC_23,0.101,0.013
East,Rx,CGREC_24,0.214,0.014
East,Rx,CGREC_25,0.147,0.014
East,Rx,CGREC_26,0.222,0.014
East,Rx,CGREC_27,0.275,0.014
East,Rx,CGREC_28,0.193,0.016
East,Rx,CGREC_29,0.133,0.015
East,Rx,CGREC_3,0.2,0.009
East,Rx,CGREC_30,0.203,0.016
East,Rx,CGREC_31,0.136,0.013
East,Rx,CGREC_32,0.096,0.009
East,Rx,CGREC_4,0.123,0.01
East,Rx,CGREC_5,0.294,0.041
East,Rx,CGREC_6,0.431,0.009
East,Rx,CGREC_7,0.349,0.012
East,Rx,CGREC_8,0.087,0.019
East,Rx,CGREC_9,0.255,0.012
West,Rx,Dayton_3,0.339,0.013
West,Rx,Dayton_4,0.326,0.006
West,Rx,Dayton_5,0.373,0.007
West,Rx,Dayton_6,0.2,0.008
West,Rx,Dayton_7,0.176,0.014
West,Rx,Clement_12,0.371,0.009
West,Rx,Clement_13,0.356,0.012
West,Rx,Clement_14,0.475,0.05
West,Rx,Fitch_1,0.379,0.019
West,Rx,Fitch_10,0.279,0.012
West,Rx,Fitch_11,0.402,0.009
West,Rx,Fitch_2,0.352,0.018
West,Rx,Fitch_3,0.314,0.018
West,Rx,Fitch_4,0.512,0.021
West,Rx,Fitch_6,0.446,0.029
West,Rx,Fitch_7,0.178,0.048
West,Rx,Fitch_8,0.455,0.009
West,Rx,Fitch_9,0.312,0.008
West,Wildfire,Aberdeen2_2017,0.363,0.017
East,Wildfire,1806HunkpapaCreek_2021,0.394,0.008
East,Wildfire,CoalSeamWest_2021,0.539,0.019
West,Wildfire,BeaverFlat_2017,0.246,0.009
West,Wildfire,6G_2017,0.332,0.008
East,Wildfire,Swather_2021,0.484,0.009
West,Wildfire,ShoulderBlade2_2017,0.361,0.007
West,Wildfire,Bradshaw_2018,0.268,0.004
West,Wildfire,LongButte_2022,0.302,0.012
East,Wildfire,Hwy31101STWest_2022,0.516,0.009
West,Wildfire,Coyote_2017,0.3,0.012
West,Wildfire,SquareTop_2021,0.46,0.004
West,Wildfire,DivideCA_2021,0.357,0.017
West,Wildfire,Secrest_2017,0.241,0.009
West,Wildfire,BigSage_2017,0.3,0.008
West,Wildfire,HayCreekFallon_2023,0.193,0.008
West,Wildfire,76_2019,0.25,0.01
West,Wildfire,DeerCreek_2017,0.151,0.005
East,Wildfire,CB00121_2021,0.543,0.005
West,Wildfire,Windy_2021,0.419,0.015
West,Wildfire,744_2021,0.318,0.018
West,Wildfire,Cemetery_2020,0.243,0.004
West,Wildfire,Eckart_2020,0.412,0.01
West,Wildfire,RAIL_2021,0.43,0.027
West,Wildfire,Reinhart_2017,0.127,0.015
West,Wildfire,WoodworthStation_2017,0.146,0.007
West,Wildfire,Highway14_2025,0.453,0.014
West,Wildfire,DorothyDraw_2021,0.185,0.02
