zone,location,burn,plot,BurnDate,MaxC,SoilMaxC,ros,dNBR
West,Dayton,DAY.3.20,DAY_D4,2020-10-02,290.6,183.9,NA,0.315
West,Dayton,DAY.3.20,DAY_D5,2020-10-02,405.9,219.8,NA,0.368
West,Dayton,DAY.3.20,DAY_D6,2020-10-02,397.6,416.2,NA,0.44
West,Dayton,DAY.1.20,DAY_D25,2020-10-02,465.7,400.1,NA,0.475
West,Dayton,DAY.1.20,DAY_D26,2020-10-02,275.2,197.8,NA,0.376
West,Dayton,DAY.1.20,DAY_D27,2020-10-02,466.3,292.6,NA,0.387
West,Dayton,DAY.2.20,DAY_D10,2020-10-02,409.8,334.3,NA,0.381
West,Dayton,DAY.2.20,DAY_D11,2020-10-02,350.8,195.8,NA,0.274
West,Dayton,DAY.2.20,DAY_D12,2020-10-02,249.3,278.5,NA,0.33
West,Dayton,DAY.1.19,DAY_1,2019-10-07,282,NA,1.66,0.1
West,Dayton,DAY.1.19,DAY_2,2019-10-07,259.8,NA,0.32,0.101
West,Dayton,DAY.1.19,DAY_3,2019-10-07,216.7,NA,1.29,0.06
West,HREC,HREC_10,HREC_24,2019-10-08,289.9,NA,0.77,0.397
West,HREC,HREC_10,HREC_25,2019-10-08,229.8,NA,1.03,0.416
West,HREC,HREC_6,HREC_14,2018-10-17,252.5,43.3,4.24,0.386
West,HREC,HREC_6,HREC_16,2018-10-17,338.8,320.5,7.92,0.442
West,HREC,HREC_2,HREC_4,2017-10-27,202.3,204.4,2.22,0.51
West,HREC,HREC_2,HREC_5,2017-10-27,88.8,20.5,1.87,0.364
West,HREC,HREC_1,HREC_1,2017-10-27,353.5,449.6,5.74,0.478
West,HREC,HREC_1,HREC_2,2017-10-27,242.9,18.1,3.32,0.493
West,HREC,HREC_1,HREC_3,2017-10-27,191,31.6,8.19,0.385
West,HREC,HREC_5,HREC_12,2018-10-17,231.7,39.3,3.84,0.472
West,HREC,HREC_8,HREC_22,2018-10-18,281.9,135,12.21,0.504
West,HREC,HREC_4,HREC_9,2017-10-28,229.5,22.8,22.17,0.402
West,HREC,HREC_4,HREC_10,2017-10-28,359.4,140,10.66,0.457
West,HREC,HREC_4,HREC_11,2017-10-28,157.9,132.2,1.39,0.266
West,HREC,HREC_7,HREC_17,2018-10-18,157.5,232.4,2.83,0.371
West,HREC,HREC_7,HREC_18,2018-10-18,296.3,53.8,2.05,0.301
West,HREC,HREC_7,HREC_19,2018-10-18,160.9,131.7,1.29,0.421
West,HREC,HREC_3,HREC_6,2017-10-28,263.9,217,7.66,0.379
West,HREC,HREC_3,HREC_7,2017-10-28,246.1,21.7,2.57,0.261
West,HREC,HREC_3,HREC_8,2017-10-28,364.5,56.6,6.92,0.415
East,CGREC,CGREC_15,CGREC_40,2019-05-14,91,33.2,1.82,0.184
East,CGREC,CGREC_15,CGREC_41,2019-05-14,133.2,101.5,1.7,0.271
East,CGREC,CGREC_15,CGREC_42,2019-05-14,199.3,18.8,4.17,0.319
East,CGREC,CGREC_4,CGREC_10,2018-05-03,377.6,242.8,5.97,0.319
East,CGREC,CGREC_4,CGREC_11,2018-05-03,373.1,241,10.23,0.266
East,CGREC,CGREC_4,CGREC_12,2018-05-03,338.9,202,2.16,0.284
East,CGREC,CGREC_2,CGREC_4,2018-05-02,237.6,67.9,0.77,0.306
East,CGREC,CGREC_2,CGREC_5,2018-05-02,197.2,54.5,1.25,0.136
East,CGREC,CGREC_2,CGREC_6,2018-05-02,170.5,61.2,5.16,0.162
East,CGREC,CGREC_3,CGREC_7,2018-05-03,368.5,326.8,10.43,0.276
East,CGREC,CGREC_3,CGREC_8,2018-05-03,367.5,444,2.66,0.3
East,CGREC,CGREC_3,CGREC_9,2018-05-03,431.6,240.7,14.43,0.251
East,CGREC,CGREC_14,CGREC_37,2019-05-14,138.1,NA,0.99,0.165
East,CGREC,CGREC_14,CGREC_38,2019-05-14,101.1,21.6,1.37,0.128
East,CGREC,CGREC_14,CGREC_39,2019-05-14,141.8,47.2,0.36,0.059
East,CGREC,CGREC_1,CGREC_1,2018-05-02,218.7,100.5,2.97,0.104
East,CGREC,CGREC_1,CGREC_2,2018-05-02,375.6,122.9,6.27,0.315
East,CGREC,CGREC_1,CGREC_3,2018-05-02,400.8,323.8,3.07,0.267
East,CGREC,CGREC_11,CGREC_29,2019-05-07,364.1,21.5,4.82,0.184
East,CGREC,CGREC_11,CGREC_30,2019-05-07,404.8,17.1,12.07,0.522
East,CGREC,CGREC_11,CGREC_31,2019-05-07,348.8,23.5,3.89,0.479
East,CGREC,CGREC_8,CGREC_22,2018-05-16,69.9,50.8,0.04,0.109
East,CGREC,CGREC_8,CGREC_23,2018-05-16,100.8,53.8,0.83,0.097
East,CGREC,CGREC_8,CGREC_24,2018-05-16,240,99.1,0.4,0.233
East,CGREC,CGREC_12,CGREC_32,2019-05-13,303.6,24.2,1.99,0.305
East,CGREC,CGREC_12,CGREC_33,2019-05-13,233.6,39.8,4.29,0.206
East,CGREC,CGREC_12,CGREC_34,2019-05-13,177.6,27.5,0.32,0.13
East,CGREC,CGREC_7,CGREC_19,2018-05-16,206.1,185.7,1.8,0.194
East,CGREC,CGREC_7,CGREC_20,2018-05-16,216.1,142.2,1.42,0.206
East,CGREC,CGREC_7,CGREC_21,2018-05-16,309,200.8,1.12,0.234
East,CGREC,CGREC_6,CGREC_16,2018-05-15,54.8,150.9,1.02,0.149
East,CGREC,CGREC_6,CGREC_17,2018-05-15,265.1,117,2.83,0.421
East,CGREC,CGREC_6,CGREC_18,2018-05-15,201,106.6,3.07,0.255
East,CGREC,CGREC_10,CGREC_26,2019-05-07,73.9,NA,0.01,0.168
East,CGREC,CGREC_10,CGREC_27,2019-05-07,115.4,NA,0.31,0.339
East,CGREC,CGREC_10,CGREC_28,2019-05-07,212.1,NA,0.69,0.41
