Data from North Dakota Agricultural Weather Network https://ndawn.ndsu.nodak.edu
Daily Observation Table for April 1 1990 to October 31 2023
Flag Definition Line: M - Missing; E - Estimated; N/A - Not Available
Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Max Temp,Max Temp Flag,Max Temp Time,Max Temp Time Flag,Min Temp,Min Temp Flag,Min Temp Time,Min Temp Time Flag,Avg Temp,Avg Temp Flag,Diurnal Temp Range,Diurnal Temp Range Flag,Avg Bare Soil Temp,Avg Bare Soil Temp Flag,Avg Turf Soil Temp,Avg Turf Soil Temp Flag,Avg Wind Speed,Avg Wind Speed Flag,Max Wind Speed,Max Wind Speed Flag,Max Wind Speed Time,Max Wind Speed Time Flag,Total Solar Rad,Total Solar Rad Flag,Rainfall,Rainfall Flag,Dew Point,Dew Point Flag
,deg,deg,ft,,,,Degrees C,,CST,,Degrees C,,CST,,Degrees C,,Degrees C,,Degrees C,,Degrees C,,m/s,,m/s,,CST,,MJ/M2,,mm,,Degrees C,
Streeter,46.71797,-99.46081,1944,1990,04,24,25.140,,11:54:00,,9.910,,05:06:00,,17.525,,15.230,,12.239,,15.335,,3.773,,9.243,,13:55:00,,11.464,,4.851,E,9.866,
Streeter,46.71797,-99.46081,1944,1990,04,25,19.410,,12:02:00,,10.070,,22:33:00,,14.740,,9.340,,11.691,,13.406,,4.312,,10.394,,15:56:00,,10.385,,0.000,E,12.463,
Streeter,46.71797,-99.46081,1944,1990,04,26,13.630,,09:43:00,,0.709,,00:00:00,,7.169,,12.921,,10.706,,10.879,,4.729,,8.772,,23:53:00,,6.690,,0.000,E,8.333,
Streeter,46.71797,-99.46081,1944,1990,04,27,-1.455,E,00:01:00,,-6.223,E,06:21:00,,-3.839,E,4.768,E,6.593,,4.227,,6.968,,9.523,,15:29:00,,6.002,,0.000,,-4.099,
Streeter,46.71797,-99.46081,1944,1990,04,28,1.676,,15:41:00,,-7.175,E,07:03:00,,-2.749,E,8.851,E,4.677,,3.512,,5.195,,8.882,,08:29:00,,20.043,,0.000,,-3.823,
Streeter,46.71797,-99.46081,1944,1990,04,29,5.015,,16:08:00,,-3.319,,06:18:00,,0.848,,8.334,,3.724,,3.583,,4.878,,10.785,,17:06:00,,14.753,,0.991,,-4.256,
Streeter,46.71797,-99.46081,1944,1990,04,30,2.220,,14:34:00,,-2.031,E,00:00:00,,0.095,E,4.251,E,2.811,,2.619,,7.799,,13.869,,12:57:00,,16.153,,0.000,,-5.446,
Streeter,46.71797,-99.46081,1944,1990,05,01,9.560,,19:01:00,,-5.178,E,04:04:00,,2.191,E,14.738,E,3.742,,5.312,,2.529,,6.456,,15:05:00,,24.623,,0.991,,-4.411,
Streeter,46.71797,-99.46081,1944,1990,05,02,15.830,,15:33:00,,-0.417,,02:16:00,,7.707,,16.247,,6.716,,10.406,,3.714,,7.470,,17:41:00,,25.926,,0.000,,1.600,
Streeter,46.71797,-99.46081,1944,1990,05,03,21.920,,14:09:00,,0.421,,05:26:00,,11.171,,21.499,,8.483,,12.890,,4.848,,9.343,,22:00:00,,23.346,,0.000,,1.806,
Streeter,46.71797,-99.46081,1944,1990,05,04,18.290,,13:43:00,,-0.833,,04:17:00,,8.729,,19.123,,9.462,,11.928,,2.731,,7.551,,18:07:00,,19.140,,0.000,,1.924,
Streeter,46.71797,-99.46081,1944,1990,05,05,18.050,,15:41:00,,1.365,,03:06:00,,9.708,,16.685,,9.327,,10.938,,2.315,,5.706,,12:27:00,,16.446,,0.000,,1.658,
Streeter,46.71797,-99.46081,1944,1990,05,06,25.040,,16:05:00,,1.964,,03:02:00,,13.502,,23.076,,10.514,,14.239,,4.449,,8.361,,14:50:00,,26.034,,0.000,,1.633,
Streeter,46.71797,-99.46081,1944,1990,05,07,19.650,,14:31:00,,8.675,E,14:20:00,,14.163,E,10.975,E,11.731,E,13.921,E,6.689,,12.267,,14:36:00,,21.238,,0.000,,4.044,
Streeter,46.71797,-99.46081,1944,1990,05,08,17.050,,14:08:00,,1.284,,05:24:00,,9.167,,15.766,,10.909,,11.127,,4.367,,9.553,,16:19:00,,23.916,,0.000,,-0.516,
Streeter,46.71797,-99.46081,1944,1990,05,09,8.020,,17:51:00,,-6.423,E,05:35:00,,0.799,E,14.443,E,8.492,,8.486,,5.616,,10.304,,14:50:00,,10.085,,0.000,,-4.049,
Streeter,46.71797,-99.46081,1944,1990,05,10,15.400,,14:20:00,,-3.754,E,04:01:00,,5.823,E,19.154,E,8.388,,8.288,,2.995,,8.441,,10:15:00,,23.532,,0.000,,-5.584,
Streeter,46.71797,-99.46081,1944,1990,05,11,18.140,,16:19:00,,0.307,,03:05:00,,9.224,,17.833,,9.599,,10.027,,2.750,,5.850,,16:50:00,,19.890,,0.000,,-2.534,
Streeter,46.71797,-99.46081,1944,1990,05,12,19.750,,15:27:00,,1.241,,05:32:00,,10.496,,18.509,,10.686,,12.007,,3.994,,8.471,,08:32:00,,26.267,,0.000,,-1.514,
Streeter,46.71797,-99.46081,1944,1990,05,13,19.700,,13:43:00,,4.623,,04:41:00,,12.162,,15.077,,11.414,,13.123,,4.740,,10.364,,15:34:00,,16.807,,0.000,,6.965,
Streeter,46.71797,-99.46081,1944,1990,05,14,17.860,,16:32:00,,1.891,,05:18:00,,9.876,,15.969,,11.886,,13.101,,4.774,,9.343,,08:04:00,,26.839,,0.000,,2.072,
Streeter,46.71797,-99.46081,1944,1990,05,15,17.040,,23:45:00,,6.244,,02:14:00,,11.642,,10.796,,11.146,,12.327,,6.162,,10.705,,10:37:00,,6.749,,2.997,,10.950,
Streeter,46.71797,-99.46081,1944,1990,05,16,18.540,,01:15:00,,5.583,,23:48:00,,12.062,,12.957,,9.894,,10.226,,9.967,,16.933,,15:12:00,,8.781,,7.010,,9.561,
Streeter,46.71797,-99.46081,1944,1990,05,17,15.420,,15:54:00,,1.346,,22:14:00,,8.383,,14.074,,9.943,,9.776,,7.644,,12.788,,00:06:00,,28.196,,0.000,,1.099,
Streeter,46.71797,-99.46081,1944,1990,05,18,8.040,,13:01:00,,-1.146,E,04:52:00,,3.447,E,9.186,E,8.399,,8.274,,5.084,,9.273,,13:02:00,,6.729,,0.000,,0.041,
Streeter,46.71797,-99.46081,1944,1990,05,19,14.840,,13:28:00,,5.493,,00:01:00,,10.167,,9.347,,9.452,,9.376,,4.300,,7.500,,13:06:00,,16.331,,2.997,,6.107,
Streeter,46.71797,-99.46081,1944,1990,05,20,17.330,,16:14:00,,5.764,,05:42:00,,11.547,,11.566,,10.974,,11.843,,3.652,,7.430,,14:28:00,,23.359,,0.000,,5.187,
Streeter,46.71797,-99.46081,1944,1990,05,21,23.280,,16:53:00,,6.421,E,15:17:00,,14.851,E,16.859,E,12.386,,14.069,,4.305,,7.560,,17:30:00,,23.278,,0.000,,9.454,
Streeter,46.71797,-99.46081,1944,1990,05,22,25.610,,15:33:00,,10.470,,23:16:00,,18.040,,15.140,,14.080,,15.846,,4.074,,9.473,,14:56:00,,26.017,,0.000,,8.793,
Streeter,46.71797,-99.46081,1944,1990,05,23,25.840,,15:43:00,,6.599,,04:17:00,,16.219,,19.241,,14.694,,16.672,,3.475,,7.170,,21:50:00,,25.648,,0.000,,9.277,
Streeter,46.71797,-99.46081,1944,1990,05,24,21.810,,16:20:00,,13.160,,02:14:00,,17.485,,8.650,,14.469,,16.449,,5.759,,11.325,,17:42:00,,9.085,,0.000,,13.300,
Streeter,46.71797,-99.46081,1944,1990,05,25,17.000,,15:40:00,,12.490,,06:26:00,,14.745,,4.510,,13.479,,14.875,,6.589,,10.885,,15:26:00,,8.151,,2.997,,11.858,
Streeter,46.71797,-99.46081,1944,1990,05,26,22.560,,15:41:00,,10.530,,23:27:00,,16.545,,12.030,,14.871,,16.313,,3.470,,7.260,,00:08:00,,24.347,,0.000,,14.109,
Streeter,46.71797,-99.46081,1944,1990,05,27,23.660,,15:43:00,,9.590,,05:32:00,,16.625,,14.070,,15.752,,17.828,,2.317,,5.402,,11:41:00,,25.595,,0.991,,9.593,
Streeter,46.71797,-99.46081,1944,1990,05,28,26.310,,16:45:00,,7.920,,05:15:00,,17.115,,18.390,,15.320,,17.929,,2.039,,7.601,,15:28:00,,18.978,,0.000,,7.590,
Streeter,46.71797,-99.46081,1944,1990,05,29,25.600,,14:38:00,,9.470,,04:21:00,,17.535,,16.130,,16.058,,18.437,,5.007,,9.553,,14:25:00,,26.359,,0.000,,8.381,
Streeter,46.71797,-99.46081,1944,1990,05,30,24.840,,12:27:00,,11.490,,05:22:00,,18.165,,13.350,,16.604,,18.818,,5.950,,10.895,,13:45:00,,22.068,,0.000,,9.871,
Streeter,46.71797,-99.46081,1944,1990,05,31,22.950,,14:00:00,,14.230,,05:09:00,,18.590,,8.720,,16.754,,18.746,,7.852,,14.249,,10:55:00,,19.727,,0.000,,12.804,
Streeter,46.71797,-99.46081,1944,1990,06,01,29.720,,13:01:00,,14.770,,17:12:00,,22.245,,14.950,,16.957,,18.811,,4.700,,9.493,,06:19:00,,14.575,,26.010,,16.781,
Streeter,46.71797,-99.46081,1944,1990,06,02,23.680,,07:22:00,,11.870,,23:59:00,,17.775,,11.810,,14.774,,14.878,,8.190,,12.197,,16:27:00,,4.167,,34.011,,17.677,
Streeter,46.71797,-99.46081,1944,1990,06,03,15.030,,17:18:00,,6.833,,08:34:00,,10.932,,8.197,,13.268,,11.850,,6.778,,11.616,,07:35:00,,26.176,,0.991,,6.663,
Streeter,46.71797,-99.46081,1944,1990,06,04,18.950,,14:20:00,,4.901,,05:09:00,,11.926,,14.049,,14.384,,13.569,,5.010,,10.194,,16:39:00,,25.844,,0.000,,8.727,
Streeter,46.71797,-99.46081,1944,1990,06,05,19.920,,13:57:00,,10.000,,23:42:00,,14.960,,9.920,,15.397,,15.309,,6.971,,14.550,,12:29:00,,25.801,,2.007,,8.821,
Streeter,46.71797,-99.46081,1944,1990,06,06,24.110,,15:08:00,,7.090,,04:49:00,,15.600,,17.020,,16.142,,16.396,,3.886,,9.092,,15:09:00,,28.684,,0.000,,8.093,
Streeter,46.71797,-99.46081,1944,1990,06,07,17.750,,11:49:00,,10.240,,02:55:00,,13.995,,7.510,,15.387,,15.699,,4.309,,9.112,,09:31:00,,6.345,,3.988,,12.836,
Streeter,46.71797,-99.46081,1944,1990,06,08,20.360,,17:53:00,,11.760,,23:09:00,,16.060,,8.600,,15.294,,14.993,,6.376,,14.199,,10:42:00,,23.630,,2.007,,12.298,
Streeter,46.71797,-99.46081,1944,1990,06,09,28.720,,18:42:00,,8.620,,04:56:00,,18.670,,20.100,,16.946,,17.655,,3.073,,7.931,,13:10:00,,29.482,,0.000,,10.793,
Streeter,46.71797,-99.46081,1944,1990,06,10,28.860,,13:22:00,,16.600,,06:19:00,,22.730,,12.260,,18.934,,20.691,,7.522,,14.029,,15:57:00,,25.655,,0.000,,15.323,
Streeter,46.71797,-99.46081,1944,1990,06,11,30.400,,15:56:00,,12.790,,00:00:00,,21.595,,17.610,,20.012,,22.288,,4.715,,12.658,,21:06:00,,20.217,,0.000,,20.254,
Streeter,46.71797,-99.46081,1944,1990,06,12,25.120,,14:54:00,,8.160,,05:18:00,,16.640,,16.960,,19.592,,21.966,,3.591,,8.211,,19:30:00,,25.325,,0.000,,12.503,
Streeter,46.71797,-99.46081,1944,1990,06,13,23.870,,15:48:00,,7.480,,03:35:00,,15.675,,16.390,,19.284,,21.256,,3.868,,9.934,,09:49:00,,27.772,,0.000,,8.759,
Streeter,46.71797,-99.46081,1944,1990,06,14,15.030,,15:24:00,,7.980,,03:52:00,,11.505,,7.050,,17.047,,18.485,,2.735,,6.482,,10:35:00,,6.637,,0.000,,10.115,
Streeter,46.71797,-99.46081,1944,1990,06,15,22.120,,10:49:00,,10.780,,05:36:00,,16.450,,11.340,,15.807,,15.957,,4.689,,7.480,,10:28:00,,8.676,,19.990,,15.531,
Streeter,46.71797,-99.46081,1944,1990,06,16,43.600,,13:08:00,,12.382,E,21:18:00,,27.991,E,31.218,E,16.589,,16.401,,3.945,,7.210,,05:48:00,,12.381,,0.000,,26.614,
Streeter,46.71797,-99.46081,1944,1990,06,17,43.450,,11:59:00,,15.420,,22:19:00,,29.435,,28.030,,17.781,,17.190,,4.116,,10.815,,14:45:00,,17.461,,18.999,,23.193,
Streeter,46.71797,-99.46081,1944,1990,06,18,29.000,,15:13:00,,11.980,,05:06:00,,20.490,,17.020,,18.913,,19.552,,2.826,,10.344,,23:20:00,,29.175,,10.998,,14.629,
Streeter,46.71797,-99.46081,1944,1990,06,19,25.900,,15:22:00,,13.500,,00:00:00,,19.700,,12.400,,20.098,,20.741,,5.230,,13.478,,02:19:00,,27.825,,10.008,,17.598,
Streeter,46.71797,-99.46081,1944,1990,06,20,23.890,,16:08:00,,11.700,,05:22:00,,17.795,,12.190,,19.843,,19.807,,5.128,,10.364,,14:37:00,,27.390,,0.000,,11.756,
Streeter,46.71797,-99.46081,1944,1990,06,21,22.310,,15:59:00,,11.450,,04:12:00,,16.880,,10.860,,19.256,,19.715,,3.753,,14.340,,17:09:00,,21.118,,8.992,,12.974,
Streeter,46.71797,-99.46081,1944,1990,06,22,21.760,,16:14:00,,10.600,,05:09:00,,16.180,,11.160,,18.262,,18.582,,4.404,,8.842,,15:28:00,,24.418,,0.000,,12.791,
Streeter,46.71797,-99.46081,1944,1990,06,23,24.170,,14:40:00,,9.150,,05:01:00,,16.660,,15.020,,18.538,,20.286,,2.161,,4.783,,14:07:00,,27.632,,0.000,,12.863,
Streeter,46.71797,-99.46081,1944,1990,06,24,29.700,,17:17:00,,13.800,,01:11:00,,21.750,,15.900,,19.968,,22.519,,3.630,,7.480,,11:14:00,,28.249,,0.000,,16.646,
