district,unit,allot_id,allot_name,allot_cn,LIVESTOCK_NBR,LIVESTOCK_KIND,GrazeYear,FROM_DATE,TO_DATE,HEAD_MONTHS,AUM
Medora Ranger District,Little Missouri National Grassland,50,50,10307.01036,194,CATTLE,2007,1-May,17-Oct,1087,1435
Medora Ranger District,Little Missouri National Grassland,50,50,10307.01036,156,CATTLE,2007,1-May,17-Oct,873,1152
Medora Ranger District,Little Missouri National Grassland,50,50,10307.01036,184,CATTLE,2008,1-May,17-Oct,1029,1358
Medora Ranger District,Little Missouri National Grassland,50,50,10307.01036,146,CATTLE,2008,1-May,17-Oct,816,1077
Medora Ranger District,Little Missouri National Grassland,50,50,10307.01036,159,CATTLE,2014,1-May,31-Dec,1082,1428
Medora Ranger District,Little Missouri National Grassland,50,50,10307.01036,126,CATTLE,2014,1-May,31-Dec,859,1134
Medora Ranger District,Little Missouri National Grassland,50,50,10307.01036,165,CATTLE,2015,1-Jul,31-Dec,998,1317
Medora Ranger District,Little Missouri National Grassland,50,50,10307.01036,131,CATTLE,2015,1-Jul,31-Dec,867,1144
Medora Ranger District,Little Missouri National Grassland,50,50,10307.01036,202,CATTLE,2016,1-Jun,31-Dec,997,1316
Medora Ranger District,Little Missouri National Grassland,50,50,10307.01036,161,CATTLE,2016,1-Jun,31-Dec,790,1043
Medora Ranger District,Little Missouri National Grassland,50,50,10307.01036,202,CATTLE,2017,1-Jun,31-Dec,997,1316
Medora Ranger District,Little Missouri National Grassland,50,50,10307.01036,161,CATTLE,2017,1-Jun,31-Dec,737,973
Medora Ranger District,Little Missouri National Grassland,50,50,10307.01036,162,CATTLE,2018,1-Jun,28-Jan,1289,1701
Medora Ranger District,Little Missouri National Grassland,50,50,10307.01036,129,CATTLE,2018,1-Jun,28-Jan,779,1028
Medora Ranger District,Little Missouri National Grassland,50,50,10307.01036,233,CATTLE,2019,15-Jun,31-Jan,1770,2336
Medora Ranger District,Little Missouri National Grassland,50,50,10307.01036,185,CATTLE,2019,15-Jun,31-Jan,740,977
