GRASSLANDN,ALLOTMENT1,ALLOTMEN_1,FirstGrazingYear,FifthGrazingYear,FIRENAME,DISCOVERYD
Little Missouri National Grassland,00050,10307.010355,2007,2013,Brown,2008-07-23
Little Missouri National Grassland,00051,10308.010355,2003,2009,DeepCreek,2004-09-01
Little Missouri National Grassland,00054,10310.010355,2003,2009,DeepCreek,2004-09-01
Little Missouri National Grassland,00055,10311.010355,2003,2009,DeepCreek,2004-09-01
Little Missouri National Grassland,00056,10312.010355,2003,2009,DeepCreek,2004-09-01
Little Missouri National Grassland,00062,10317.010355,2007,2013,Brown,2008-07-23
Little Missouri National Grassland,00063,10318.010355,2011,2017,DeepCreek2,2012-08-24
Little Missouri National Grassland,00179,10413.010355,2011,2017,Sail,2012-08-24
Little Missouri National Grassland,00211,10444.010355,1999,2005,Talkington1,2000-08-26
Little Missouri National Grassland,00181,10415.010355,2011,2017,Sail,2012-08-24
Little Missouri National Grassland,00426,10615.010355,1998,2004,Gap/RoughCreek,1999-10-31
Little Missouri National Grassland,00428,10617.010355,2011,2017,CottonwoodCreek,2012-09-21
Little Missouri National Grassland,00256,10481.010355,1999,2005,Blacktail1,2000-08-26
Little Missouri National Grassland,00256,10481.010355,1987,1993,Mike'SCreek,1988-07-27
Little Missouri National Grassland,00230,10461.010355,1987,1993,Mike'SCreek,1988-07-27
Little Missouri National Grassland,00129,10370.010355,2003,2009,MagpieCamp,2004-08-15
Little Missouri National Grassland,00129,10370.010355,2016,2022,Magpie,2017-07-08
Little Missouri National Grassland,00431,10620.010355,2011,2017,CottonwoodCreek,2012-09-21
Little Missouri National Grassland,00432,10621.010355,2011,2017,CottonwoodCreek,2012-09-21
Little Missouri National Grassland,00186,10420.010355,2011,2017,Easter,2012-04-08
Little Missouri National Grassland,00196,10430.010355,2011,2017,Sail,2012-08-24
Little Missouri National Grassland,00435,10624.010355,1987,1993,Fantail,1988-08-11
